epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
110,17953.8,1.12846,0.57268,1.28434,0.72412,0.63645,0.70034,0.38024,1.58262,0.75764,1.59077,0.0103153,0.00343844,0.0103153,0.00343844,0.0103153,0.00343844,0.0103153,0.00343844
111,18112.6,1.13278,0.57361,1.28797,0.72373,0.63567,0.70051,0.38006,1.58336,0.75782,1.59119,0.010071,0.003357,0.010071,0.003357,0.010071,0.003357,0.010071,0.003357
112,18272.2,1.1275,0.57109,1.28928,0.72639,0.63346,0.70076,0.38015,1.5841,0.75803,1.59194,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608
113,18431.9,1.12024,0.5671,1.27982,0.72547,0.63375,0.70053,0.37989,1.58495,0.75858,1.59226,0.00958709,0.0031957,0.00958709,0.0031957,0.00958709,0.0031957,0.00958709,0.0031957
114,18591.1,1.11512,0.5595,1.27404,0.72615,0.63264,0.70009,0.37973,1.58561,0.75828,1.59288,0.00934764,0.00311588,0.00934764,0.00311588,0.00934764,0.00311588,0.00934764,0.00311588
115,18750.2,1.10535,0.5538,1.26913,0.72501,0.63249,0.69983,0.37968,1.58678,0.75869,1.59381,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
116,18909.7,1.09897,0.55226,1.26309,0.72133,0.63487,0.70009,0.37986,1.58691,0.75875,1.59377,0.00887412,0.00295804,0.00887412,0.00295804,0.00887412,0.00295804,0.00887412,0.00295804
117,19069,1.09192,0.54266,1.25361,0.72332,0.63614,0.70087,0.3801,1.58787,0.75967,1.59467,0.00864019,0.00288006,0.00864019,0.00288006,0.00864019,0.00288006,0.00864019,0.00288006
118,19228.4,1.0889,0.54109,1.2522,0.72236,0.63779,0.70031,0.37969,1.58908,0.75976,1.59575,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
119,19387.5,1.08129,0.53757,1.25021,0.71983,0.6384,0.69922,0.37949,1.58952,0.76088,1.59616,0.00817835,0.00272612,0.00817835,0.00272612,0.00817835,0.00272612,0.00817835,0.00272612
120,19546.3,1.07259,0.52701,1.24234,0.72172,0.63767,0.69874,0.37956,1.59032,0.7615,1.59693,0.00795058,0.00265019,0.00795058,0.00265019,0.00795058,0.00265019,0.00795058,0.00265019
121,19705,1.06614,0.52632,1.23711,0.72199,0.63597,0.69867,0.3794,1.59121,0.7626,1.59735,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
122,19864.2,1.06435,0.52217,1.23755,0.72379,0.63394,0.69794,0.37908,1.59207,0.76331,1.59788,0.00750168,0.00250056,0.00750168,0.00250056,0.00750168,0.00250056,0.00750168,0.00250056
